carat,cut,color,clarity,depth,table,price
"(-1.613, -0.536]",4.0,0.0,5.0,60.8,4.07753744390572,403.0
"(-1.613, -0.536]",2.0,5.0,3.0,61.8,4.007333185232471,403.0
"(-1.613, -0.536]",2.0,5.0,3.0,61.2,4.02535169073515,403.0
"(-1.613, -0.536]",2.0,6.0,2.0,61.1,4.02535169073515,403.0
"(-1.613, -0.536]",1.0,0.0,5.0,65.2,4.02535169073515,403.0
"(-1.613, -0.536]",1.0,0.0,4.0,58.4,4.143134726391533,403.0
"(-1.613, -0.536]",1.0,4.0,3.0,63.1,4.02535169073515,403.0
"(-1.613, -0.536]",3.0,2.0,2.0,62.4,4.060443010546419,403.0
"(-1.613, -0.536]",4.0,4.0,3.0,61.8,4.007333185232471,403.0
"(-1.613, -0.536]",1.0,4.0,3.0,63.8,4.02535169073515,403.0
"(-1.613, -0.536]",4.0,1.0,5.0,63.3,4.0943445622221,404.0
"(-1.613, -0.536]",4.0,4.0,3.0,60.7,4.0943445622221,404.0
"(-1.613, -0.536]",4.0,2.0,2.0,60.9,4.110873864173311,404.0
"(-1.613, -0.536]",2.0,3.0,4.0,61.9,3.9889840465642745,404.0
"(-1.613, -0.536]",2.0,5.0,2.0,60.9,4.007333185232471,404.0
"(-1.613, -0.536]",3.0,1.0,5.0,61.6,4.060443010546419,404.0
"(-1.613, -0.536]",3.0,0.0,5.0,59.3,4.127134385045092,404.0
"(-1.613, -0.536]",2.0,5.0,3.0,61.0,4.07753744390572,405.0
"(-1.613, -0.536]",3.0,6.0,3.0,59.3,4.110873864173311,405.0
"(-1.613, -0.536]",4.0,5.0,2.0,62.6,4.04305126783455,405.0
"(-1.613, -0.536]",4.0,5.0,2.0,63.0,4.04305126783455,405.0
"(-1.613, -0.536]",1.0,5.0,2.0,63.2,4.007333185232471,405.0
"(-1.613, -0.536]",2.0,5.0,4.0,60.9,4.04305126783455,552.0
"(-1.613, -0.536]",3.0,0.0,2.0,62.6,4.07753744390572,552.0
"(-1.613, -0.536]",2.0,0.0,2.0,62.5,4.04305126783455,552.0
"(-1.613, -0.536]",2.0,0.0,2.0,62.1,4.02535169073515,552.0
"(-1.613, -0.536]",3.0,5.0,3.0,61.5,4.07753744390572,552.0
"(-1.613, -0.536]",2.0,3.0,7.0,61.4,4.02535169073515,553.0
"(-1.613, -0.536]",2.0,5.0,6.0,62.0,4.012772908528289,553.0
"(-1.613, -0.536]",4.0,3.0,2.0,63.3,4.04305126783455,553.0
"(-1.613, -0.536]",3.0,3.0,2.0,61.8,4.060443010546419,553.0
"(-1.613, -0.536]",3.0,1.0,6.0,60.7,4.060443010546419,553.0
"(-1.613, -0.536]",4.0,0.0,6.0,61.5,4.0943445622221,553.0
"(-1.613, -0.536]",4.0,4.0,2.0,63.1,4.02535169073515,554.0
"(-1.613, -0.536]",3.0,4.0,2.0,62.9,4.07753744390572,554.0
"(-1.613, -0.536]",3.0,4.0,2.0,62.5,4.04305126783455,554.0
"(-1.613, -0.536]",1.0,4.0,2.0,63.7,4.04305126783455,554.0
"(-1.613, -0.536]",4.0,2.0,7.0,59.2,4.0943445622221,554.0
"(-1.613, -0.536]",4.0,1.0,7.0,59.9,4.060443010546419,554.0
"(-1.613, -0.536]",4.0,0.0,7.0,62.4,3.9889840465642745,554.0
"(-1.613, -0.536]",4.0,0.0,7.0,62.8,4.0943445622221,554.0
"(-1.613, -0.536]",4.0,1.0,6.0,62.6,4.07753744390572,554.0
"(-1.613, -0.536]",4.0,1.0,6.0,63.4,4.07753744390572,554.0
"(-1.613, -0.536]",4.0,0.0,6.0,62.1,4.0943445622221,554.0
"(-1.613, -0.536]",2.0,1.0,7.0,62.9,4.060443010546419,554.0
"(-1.613, -0.536]",2.0,5.0,3.0,61.6,4.02535169073515,554.0
"(-1.613, -0.536]",1.0,1.0,6.0,57.9,4.0943445622221,554.0
"(-1.613, -0.536]",3.0,3.0,6.0,62.3,4.07753744390572,554.0
"(-1.613, -0.536]",3.0,4.0,6.0,61.2,4.060443010546419,554.0
"(-1.613, -0.536]",3.0,4.0,6.0,60.8,4.07753744390572,554.0
"(-1.613, -0.536]",3.0,4.0,7.0,60.7,4.060443010546419,554.0
"(-1.613, -0.536]",3.0,5.0,2.0,62.9,4.060443010546419,554.0
"(-0.536, 0.538]",2.0,1.0,2.0,62.5,4.04305126783455,2757.0
"(-0.536, 0.538]",0.0,1.0,3.0,55.1,4.23410650459726,2757.0
"(-0.536, 0.538]",2.0,3.0,5.0,61.6,4.02535169073515,2757.0
"(-0.536, 0.538]",4.0,1.0,5.0,62.4,4.04305126783455,2759.0
"(-0.536, 0.538]",4.0,3.0,3.0,63.8,4.02535169073515,2759.0
"(-0.536, 0.538]",1.0,1.0,5.0,57.5,4.060443010546419,2759.0
"(-0.536, 0.538]",1.0,2.0,4.0,59.4,4.127134385045092,2759.0
"(-0.536, 0.538]",0.0,2.0,3.0,66.3,4.127134385045092,2759.0
"(-0.536, 0.538]",4.0,1.0,2.0,61.6,4.07753744390572,2760.0
"(-0.536, 0.538]",3.0,4.0,2.0,61.5,4.060443010546419,2760.0
"(-0.536, 0.538]",4.0,0.0,2.0,63.2,4.02535169073515,2760.0
"(-0.536, 0.538]",3.0,1.0,2.0,59.9,3.9889840465642745,2760.0
"(-0.536, 0.538]",2.0,3.0,2.0,61.6,4.007333185232471,2760.0
"(-0.536, 0.538]",3.0,3.0,5.0,61.7,4.060443010546419,2760.0
"(-0.536, 0.538]",2.0,5.0,4.0,62.9,4.02535169073515,2760.0
"(-0.536, 0.538]",2.0,3.0,2.0,62.2,4.007333185232471,2760.0
"(-0.536, 0.538]",3.0,3.0,2.0,63.0,4.07753744390572,2760.0
"(-0.536, 0.538]",2.0,5.0,7.0,62.3,4.007333185232471,2761.0
"(-0.536, 0.538]",2.0,2.0,3.0,58.8,4.04305126783455,2761.0
"(-0.536, 0.538]",2.0,1.0,7.0,62.0,4.007333185232471,2761.0
"(-0.536, 0.538]",2.0,2.0,3.0,61.4,4.04305126783455,2761.0
"(-0.536, 0.538]",2.0,1.0,3.0,62.2,4.02535169073515,2761.0
"(-0.536, 0.538]",3.0,5.0,5.0,63.0,4.060443010546419,2761.0
"(-0.536, 0.538]",4.0,3.0,2.0,62.2,4.07753744390572,2762.0
"(-0.536, 0.538]",2.0,2.0,5.0,62.6,4.02535169073515,2762.0
"(-0.536, 0.538]",2.0,2.0,5.0,62.7,3.970291913552122,2762.0
"(-0.536, 0.538]",3.0,2.0,3.0,61.7,4.060443010546419,2762.0
"(-0.536, 0.538]",2.0,3.0,5.0,62.4,3.9889840465642745,2762.0
"(-0.536, 0.538]",2.0,1.0,5.0,60.7,4.060443010546419,2762.0
"(-0.536, 0.538]",2.0,2.0,3.0,59.9,4.07753744390572,2762.0
"(-0.536, 0.538]",2.0,0.0,3.0,62.3,4.02535169073515,2762.0
"(-0.536, 0.538]",2.0,1.0,2.0,62.3,3.9889840465642745,2762.0
"(-0.536, 0.538]",4.0,2.0,5.0,61.7,4.143134726391533,2762.0
"(-0.536, 0.538]",0.0,2.0,5.0,64.5,4.04305126783455,2762.0
"(-0.536, 0.538]",0.0,2.0,5.0,65.3,4.007333185232471,2762.0
"(-0.536, 0.538]",3.0,2.0,5.0,61.6,4.0943445622221,2762.0
"(-0.536, 0.538]",3.0,4.0,2.0,61.4,4.02535169073515,2763.0
"(-0.536, 0.538]",4.0,0.0,7.0,59.6,4.04305126783455,2763.0
"(-0.536, 0.538]",0.0,4.0,3.0,64.4,4.04305126783455,2763.0
"(-0.536, 0.538]",0.0,4.0,3.0,65.7,4.0943445622221,2763.0
"(-0.536, 0.538]",2.0,4.0,5.0,62.0,4.02535169073515,2763.0
"(-0.536, 0.538]",4.0,0.0,2.0,63.6,4.060443010546419,2764.0
"(-0.536, 0.538]",2.0,0.0,2.0,61.9,4.07753744390572,2764.0
"(-0.536, 0.538]",4.0,1.0,5.0,62.6,4.0943445622221,2765.0
"(-0.536, 0.538]",4.0,4.0,4.0,61.3,4.0943445622221,2765.0
"(-0.536, 0.538]",3.0,1.0,6.0,60.9,4.0943445622221,2765.0
"(-0.536, 0.538]",4.0,2.0,4.0,60.1,4.127134385045092,2765.0
"(-0.536, 0.538]",3.0,2.0,4.0,61.8,4.07753744390572,2765.0
"(-0.536, 0.538]",2.0,4.0,2.0,61.2,4.04305126783455,2765.0
"(-0.536, 0.538]",2.0,3.0,6.0,61.9,4.02535169073515,2766.0
"(-0.536, 0.538]",3.0,3.0,5.0,60.9,4.04305126783455,2766.0
"(-0.536, 0.538]",3.0,3.0,5.0,59.8,4.02535169073515,2766.0
"(-0.536, 0.538]",4.0,0.0,5.0,61.8,4.007333185232471,2767.0
"(-0.536, 0.538]",4.0,2.0,4.0,60.0,4.04305126783455,2767.0
"(-0.536, 0.538]",2.0,0.0,3.0,61.6,4.007333185232471,2767.0
"(-0.536, 0.538]",1.0,4.0,7.0,62.1,4.1588830833596715,2767.0
"(-0.536, 0.538]",4.0,3.0,4.0,63.3,4.07753744390572,2768.0
"(-0.536, 0.538]",4.0,0.0,2.0,60.2,4.02535169073515,2768.0
"(-0.536, 0.538]",4.0,0.0,2.0,61.1,4.060443010546419,2768.0
"(-0.536, 0.538]",2.0,1.0,2.0,60.9,4.04305126783455,2768.0
"(-0.536, 0.538]",3.0,0.0,3.0,61.7,4.07753744390572,2768.0
"(-0.536, 0.538]",2.0,5.0,2.0,61.3,4.02535169073515,2769.0
"(-0.536, 0.538]",3.0,0.0,5.0,62.5,4.0943445622221,2770.0
"(-0.536, 0.538]",3.0,3.0,5.0,61.4,4.07753744390572,2770.0
"(-0.536, 0.538]",4.0,2.0,2.0,62.9,4.04305126783455,2770.0
"(-0.536, 0.538]",2.0,0.0,3.0,62.4,4.04305126783455,2770.0
"(-0.536, 0.538]",2.0,2.0,2.0,60.7,4.02535169073515,2770.0
"(-0.536, 0.538]",3.0,3.0,5.0,60.7,4.060443010546419,2770.0
"(-0.536, 0.538]",3.0,3.0,4.0,61.5,4.060443010546419,2770.0
"(-0.536, 0.538]",2.0,0.0,3.0,59.9,4.04305126783455,2770.0
"(-0.536, 0.538]",3.0,3.0,5.0,59.2,4.07753744390572,2770.0
"(-0.536, 0.538]",4.0,4.0,7.0,60.3,4.02535169073515,2771.0
"(-0.536, 0.538]",4.0,2.0,2.0,61.7,4.0943445622221,2771.0
"(-0.536, 0.538]",2.0,3.0,5.0,61.9,4.04305126783455,2771.0
"(-0.536, 0.538]",2.0,2.0,3.0,61.9,4.007333185232471,2771.0
"(-0.536, 0.538]",4.0,4.0,6.0,60.4,4.07753744390572,2772.0
"(-0.536, 0.538]",4.0,2.0,3.0,61.0,4.04305126783455,2772.0
"(-1.613, -0.536]",2.0,3.0,6.0,61.5,4.007333185232471,2772.0
"(-1.613, -0.536]",2.0,2.0,6.0,61.7,4.02535169073515,2772.0
"(-0.536, 0.538]",1.0,1.0,5.0,59.2,4.110873864173311,2772.0
"(-0.536, 0.538]",2.0,0.0,3.0,61.3,4.02535169073515,2773.0
"(-0.536, 0.538]",3.0,0.0,5.0,58.0,4.127134385045092,2773.0
"(-0.536, 0.538]",4.0,6.0,0.0,60.2,4.110873864173311,2774.0
"(-0.536, 0.538]",2.0,1.0,4.0,61.7,4.007333185232471,2774.0
"(-0.536, 0.538]",2.0,1.0,2.0,62.7,4.007333185232471,2774.0
"(-0.536, 0.538]",1.0,5.0,5.0,64.6,3.9889840465642745,2774.0
"(-0.536, 0.538]",4.0,2.0,5.0,61.3,4.110873864173311,2775.0
"(-0.536, 0.538]",4.0,3.0,5.0,63.7,4.032469158504013,2776.0
"(-0.536, 0.538]",3.0,1.0,5.0,62.7,4.060443010546419,2776.0
"(-0.536, 0.538]",2.0,1.0,5.0,62.2,4.04305126783455,2776.0
"(-1.613, -0.536]",2.0,1.0,7.0,61.6,4.02535169073515,2776.0
"(-1.613, -0.536]",2.0,1.0,7.0,61.5,4.04305126783455,2776.0
"(-0.536, 0.538]",2.0,3.0,2.0,61.8,4.02535169073515,2776.0
"(-0.536, 0.538]",2.0,3.0,2.0,60.7,4.02535169073515,2776.0
"(-0.536, 0.538]",1.0,3.0,5.0,59.7,4.102643365036796,2776.0
"(-0.536, 0.538]",2.0,3.0,2.0,60.5,4.02535169073515,2776.0
"(-0.536, 0.538]",4.0,0.0,4.0,62.7,4.060443010546419,2777.0
"(-0.536, 0.538]",3.0,2.0,5.0,62.1,4.060443010546419,2777.0
"(-0.536, 0.538]",4.0,2.0,5.0,62.8,4.04305126783455,2777.0
"(-0.536, 0.538]",1.0,2.0,5.0,63.8,4.060443010546419,2777.0
"(-0.536, 0.538]",1.0,2.0,5.0,57.8,4.0943445622221,2777.0
"(-0.536, 0.538]",2.0,1.0,5.0,62.1,4.007333185232471,2777.0
"(-0.536, 0.538]",3.0,1.0,5.0,61.1,4.0943445622221,2777.0
"(-0.536, 0.538]",3.0,1.0,2.0,60.0,4.07753744390572,2777.0
"(-0.536, 0.538]",3.0,1.0,2.0,61.2,4.04305126783455,2777.0
"(-0.536, 0.538]",3.0,1.0,2.0,62.7,4.07753744390572,2777.0
"(-0.536, 0.538]",3.0,1.0,2.0,61.0,4.04305126783455,2777.0
"(-0.536, 0.538]",3.0,1.0,2.0,61.0,4.060443010546419,2777.0
"(-0.536, 0.538]",2.0,1.0,2.0,61.4,4.04305126783455,2777.0
"(-0.536, 0.538]",3.0,2.0,2.0,61.8,4.110873864173311,2777.0
"(-0.536, 0.538]",4.0,1.0,2.0,59.9,4.143134726391533,2777.0
"(-0.536, 0.538]",3.0,1.0,2.0,61.3,4.060443010546419,2777.0
"(-0.536, 0.538]",3.0,1.0,2.0,60.5,4.060443010546419,2777.0
"(-0.536, 0.538]",1.0,1.0,5.0,64.1,4.07753744390572,2777.0
"(-0.536, 0.538]",0.0,4.0,3.0,67.9,4.0943445622221,2777.0
"(-0.536, 0.538]",3.0,2.0,2.0,62.4,4.060443010546419,2777.0
"(-0.536, 0.538]",4.0,1.0,2.0,63.2,4.0943445622221,2777.0
"(-1.613, -0.536]",2.0,2.0,6.0,61.3,4.007333185232471,2778.0
"(-0.536, 0.538]",4.0,4.0,5.0,60.8,4.02535169073515,2779.0
"(-0.536, 0.538]",2.0,1.0,2.0,61.7,4.02535169073515,2779.0
"(-0.536, 0.538]",4.0,2.0,5.0,63.6,4.04305126783455,2780.0
"(-0.536, 0.538]",3.0,3.0,5.0,61.2,4.060443010546419,2780.0
"(-0.536, 0.538]",2.0,2.0,5.0,62.1,3.9889840465642745,2780.0
"(-0.536, 0.538]",2.0,3.0,4.0,61.5,4.007333185232471,2780.0
"(-0.536, 0.538]",2.0,3.0,4.0,61.4,4.07753744390572,2780.0
"(-0.536, 0.538]",3.0,2.0,0.0,61.8,4.0943445622221,2781.0
"(-0.536, 0.538]",2.0,4.0,2.0,62.2,4.02535169073515,2781.0
"(-0.536, 0.538]",2.0,4.0,2.0,61.2,4.02535169073515,2781.0
"(-0.536, 0.538]",4.0,4.0,4.0,60.6,4.143134726391533,2782.0
"(-1.613, -0.536]",4.0,0.0,7.0,57.5,4.1588830833596715,2782.0
"(-0.536, 0.538]",2.0,3.0,5.0,61.3,4.02535169073515,2782.0
"(-0.536, 0.538]",1.0,1.0,4.0,57.2,4.127134385045092,2782.0
"(-0.536, 0.538]",3.0,1.0,4.0,62.9,4.0943445622221,2782.0
"(-0.536, 0.538]",4.0,0.0,3.0,63.1,4.060443010546419,2782.0
"(-0.536, 0.538]",2.0,0.0,2.0,60.8,4.04305126783455,2782.0
"(-0.536, 0.538]",3.0,0.0,2.0,62.7,4.07753744390572,2782.0
"(-0.536, 0.538]",3.0,0.0,2.0,62.8,4.0943445622221,2782.0
"(-0.536, 0.538]",0.0,3.0,2.0,55.1,4.204692619390966,2782.0
"(-0.536, 0.538]",3.0,2.0,2.0,61.4,4.07753744390572,2782.0
"(-1.613, -0.536]",2.0,2.0,1.0,62.2,4.007333185232471,2783.0
"(-0.536, 0.538]",4.0,2.0,5.0,63.0,3.9889840465642745,2784.0
"(-0.536, 0.538]",4.0,4.0,4.0,63.7,4.02535169073515,2784.0
"(-0.536, 0.538]",4.0,2.0,5.0,63.6,4.060443010546419,2787.0
"(-1.613, -0.536]",2.0,2.0,6.0,62.0,4.04305126783455,2787.0
"(-0.536, 0.538]",2.0,0.0,4.0,61.5,4.02535169073515,2787.0
"(-0.536, 0.538]",4.0,4.0,6.0,60.5,4.0943445622221,2788.0
"(-0.536, 0.538]",4.0,5.0,4.0,61.1,4.0943445622221,2788.0
"(-0.536, 0.538]",2.0,5.0,7.0,61.8,4.02535169073515,2788.0
"(-0.536, 0.538]",1.0,0.0,5.0,63.3,4.02535169073515,2788.0
"(-0.536, 0.538]",1.0,3.0,4.0,59.4,4.1588830833596715,2788.0
"(-0.536, 0.538]",2.0,2.0,2.0,62.5,4.007333185232471,2788.0
"(-0.536, 0.538]",0.0,1.0,0.0,64.5,4.060443010546419,2788.0
"(-0.536, 0.538]",3.0,4.0,3.0,62.7,4.07753744390572,2788.0
"(-0.536, 0.538]",1.0,2.0,2.0,64.2,3.9512437185814275,2789.0
"(-0.536, 0.538]",1.0,1.0,2.0,63.7,3.9889840465642745,2789.0
"(-0.536, 0.538]",3.0,1.0,2.0,60.4,4.060443010546419,2789.0
"(-0.536, 0.538]",3.0,1.0,2.0,61.8,4.060443010546419,2789.0
"(-0.536, 0.538]",4.0,6.0,3.0,63.2,4.02535169073515,2789.0
"(-0.536, 0.538]",2.0,3.0,3.0,61.6,4.02535169073515,2789.0
"(-0.536, 0.538]",2.0,1.0,2.0,61.6,4.02535169073515,2789.0
"(-1.613, -0.536]",2.0,3.0,1.0,60.9,4.04305126783455,2789.0
"(-0.536, 0.538]",1.0,3.0,3.0,61.0,4.110873864173311,2789.0
"(-0.536, 0.538]",3.0,1.0,7.0,62.1,4.04305126783455,2789.0
"(-0.536, 0.538]",3.0,1.0,6.0,60.9,4.0943445622221,2789.0
"(-0.536, 0.538]",3.0,4.0,4.0,61.3,4.0943445622221,2789.0
"(-0.536, 0.538]",0.0,6.0,3.0,65.8,4.07753744390572,2789.0
"(-0.536, 0.538]",2.0,3.0,1.0,61.3,4.02535169073515,2790.0
"(-0.536, 0.538]",3.0,5.0,6.0,58.8,4.07753744390572,2790.0
"(-0.536, 0.538]",2.0,2.0,3.0,62.3,4.007333185232471,2790.0
"(-0.536, 0.538]",3.0,2.0,4.0,60.1,4.127134385045092,2790.0
"(-0.536, 0.538]",3.0,2.0,4.0,61.8,4.07753744390572,2790.0
"(-0.536, 0.538]",4.0,5.0,2.0,63.6,4.021773869387265,2791.0
"(-0.536, 0.538]",2.0,1.0,2.0,62.2,4.02535169073515,2791.0
"(-0.536, 0.538]",3.0,1.0,2.0,59.2,4.07753744390572,2792.0
"(-0.536, 0.538]",3.0,1.0,2.0,61.8,4.07753744390572,2792.0
"(-0.536, 0.538]",2.0,1.0,2.0,61.3,4.007333185232471,2792.0
"(-0.536, 0.538]",3.0,2.0,4.0,62.1,4.0943445622221,2792.0
"(-0.536, 0.538]",3.0,2.0,4.0,60.7,4.0943445622221,2792.0
"(-0.536, 0.538]",3.0,4.0,7.0,59.6,4.04305126783455,2792.0
"(-0.536, 0.538]",2.0,2.0,4.0,62.2,4.02535169073515,2792.0
"(-0.536, 0.538]",4.0,3.0,2.0,60.6,4.04305126783455,2793.0
"(-0.536, 0.538]",4.0,1.0,5.0,62.9,4.04305126783455,2793.0
"(-0.536, 0.538]",1.0,1.0,5.0,64.1,4.007333185232471,2793.0
"(-0.536, 0.538]",2.0,5.0,5.0,61.3,4.02535169073515,2793.0
"(-0.536, 0.538]",2.0,4.0,5.0,62.7,4.007333185232471,2793.0
"(-0.536, 0.538]",4.0,1.0,2.0,63.2,4.02535169073515,2794.0
"(-0.536, 0.538]",4.0,1.0,5.0,60.7,4.02535169073515,2795.0
"(-0.536, 0.538]",3.0,5.0,7.0,61.9,4.0943445622221,2795.0
"(-0.536, 0.538]",2.0,2.0,3.0,62.6,4.007333185232471,2795.0
"(-0.536, 0.538]",1.0,2.0,4.0,60.7,4.0943445622221,2795.0
"(-0.536, 0.538]",3.0,0.0,3.0,62.0,4.0943445622221,2795.0
"(-0.536, 0.538]",3.0,5.0,1.0,63.0,4.04305126783455,2795.0
"(-0.536, 0.538]",3.0,4.0,5.0,58.0,4.07753744390572,2795.0
"(-0.536, 0.538]",3.0,3.0,5.0,62.9,4.04305126783455,2795.0
"(-0.536, 0.538]",3.0,5.0,3.0,58.2,4.0943445622221,2795.0
"(-0.536, 0.538]",1.0,1.0,2.0,63.2,4.060443010546419,2796.0
"(-0.536, 0.538]",4.0,4.0,3.0,61.3,4.07753744390572,2797.0
"(-0.536, 0.538]",4.0,1.0,2.0,60.3,4.0943445622221,2797.0
"(-0.536, 0.538]",3.0,0.0,2.0,62.7,4.0943445622221,2797.0
"(-0.536, 0.538]",3.0,0.0,2.0,61.3,4.060443010546419,2797.0
"(-0.536, 0.538]",3.0,0.0,2.0,61.6,4.0943445622221,2797.0
"(-1.613, -0.536]",2.0,2.0,7.0,61.9,4.007333185232471,2797.0
"(-1.613, -0.536]",2.0,0.0,6.0,61.7,4.02535169073515,2797.0
"(-0.536, 0.538]",2.0,3.0,5.0,61.9,4.060443010546419,2797.0
"(-0.536, 0.538]",2.0,4.0,4.0,61.8,4.060443010546419,2797.0
"(-0.536, 0.538]",2.0,4.0,4.0,61.6,4.02535169073515,2797.0
"(-0.536, 0.538]",0.0,3.0,6.0,58.8,4.189654742026425,2797.0
"(-0.536, 0.538]",3.0,2.0,3.0,61.0,4.04305126783455,2797.0
"(-0.536, 0.538]",0.0,1.0,3.0,67.4,4.0943445622221,2797.0
"(-0.536, 0.538]",4.0,4.0,5.0,63.4,4.0943445622221,2797.0
"(-0.536, 0.538]",2.0,5.0,4.0,61.5,4.07753744390572,2798.0
"(-0.536, 0.538]",4.0,1.0,3.0,58.0,4.127134385045092,2799.0
"(-0.536, 0.538]",2.0,2.0,3.0,62.4,3.9889840465642745,2799.0
"(-0.536, 0.538]",2.0,0.0,2.0,61.9,4.04305126783455,2799.0
"(-0.536, 0.538]",4.0,3.0,1.0,61.6,4.02535169073515,2800.0
"(-0.536, 0.538]",1.0,5.0,3.0,62.2,4.07753744390572,2800.0
"(-0.536, 0.538]",3.0,1.0,4.0,62.2,4.060443010546419,2800.0
"(-0.536, 0.538]",4.0,5.0,3.0,61.3,4.02535169073515,2800.0
"(-0.536, 0.538]",2.0,3.0,2.0,62.3,4.04305126783455,2800.0
"(-0.536, 0.538]",2.0,3.0,2.0,61.8,4.04305126783455,2800.0
"(-0.536, 0.538]",4.0,4.0,2.0,62.5,4.07753744390572,2800.0
"(-0.536, 0.538]",3.0,3.0,4.0,62.9,4.0943445622221,2800.0
"(-0.536, 0.538]",2.0,5.0,4.0,61.8,4.07753744390572,2800.0
"(-0.536, 0.538]",2.0,3.0,1.0,62.3,4.02535169073515,2800.0
"(-0.536, 0.538]",0.0,3.0,4.0,59.0,4.248495242049359,2800.0
"(-0.536, 0.538]",2.0,2.0,0.0,60.7,4.007333185232471,2801.0
"(-0.536, 0.538]",2.0,2.0,5.0,62.5,4.007333185232471,2801.0
"(-0.536, 0.538]",3.0,2.0,5.0,62.7,4.060443010546419,2801.0
"(-0.536, 0.538]",2.0,4.0,2.0,60.4,4.04305126783455,2801.0
"(-0.536, 0.538]",3.0,2.0,5.0,62.1,4.060443010546419,2801.0
"(-0.536, 0.538]",1.0,2.0,5.0,57.8,4.0943445622221,2801.0
"(-0.536, 0.538]",1.0,2.0,5.0,63.8,4.060443010546419,2801.0
"(-0.536, 0.538]",3.0,2.0,5.0,62.8,4.04305126783455,2801.0
"(-0.536, 0.538]",3.0,3.0,0.0,62.2,4.060443010546419,2801.0
"(-0.536, 0.538]",3.0,6.0,3.0,62.3,4.060443010546419,2801.0
"(-0.536, 0.538]",4.0,3.0,3.0,59.9,4.060443010546419,2802.0
"(-1.613, -0.536]",2.0,2.0,1.0,61.9,3.9889840465642745,2802.0
"(-0.536, 0.538]",3.0,1.0,5.0,63.0,4.007333185232471,2802.0
"(-0.536, 0.538]",3.0,2.0,4.0,62.4,4.060443010546419,2802.0
"(-0.536, 0.538]",4.0,2.0,5.0,62.9,4.060443010546419,2803.0
"(-0.536, 0.538]",4.0,1.0,2.0,63.5,4.02535169073515,2803.0
"(-0.536, 0.538]",2.0,3.0,5.0,61.3,4.02535169073515,2803.0
"(-0.536, 0.538]",2.0,1.0,2.0,60.6,3.9889840465642745,2803.0
"(-0.536, 0.538]",1.0,3.0,4.0,65.1,4.060443010546419,2803.0
